Filename: PicknPlace.txt

Lage der Leiterplatte:
untere linke Ecke: X=0 / Y=0
RefDesignator	X	Y	Rot	Value	Package	Side
D390	42.500	74.290	90.000	LRTBR48G	LRTBR48G	TOP
D410	47.000	67.540	90.000	LRTBR48G	LRTBR48G	TOP
R56	145.610	26.760	180.000	56	R0402	TOP
D62	20.000	128.290	90.000	LRTBR48G	LRTBR48G	TOP
D378	38.000	67.540	90.000	LRTBR48G	LRTBR48G	TOP
D777	78.500	135.040	90.000	LRTBR48G	LRTBR48G	TOP
D1325	123.500	123.790	90.000	LRTBR48G	LRTBR48G	TOP
D1724	164.000	94.540	90.000	LRTBR48G	LRTBR48G	TOP
D420	51.500	72.040	90.000	LRTBR48G	LRTBR48G	TOP
R57	141.420	19.410	0.000	56	R0402	TOP
D63	20.000	121.540	90.000	LRTBR48G	LRTBR48G	TOP
D388	42.500	72.040	90.000	LRTBR48G	LRTBR48G	TOP
D408	47.000	69.790	90.000	LRTBR48G	LRTBR48G	TOP
D1026	78.500	76.540	90.000	LRTBR48G	LRTBR48G	TOP
D787	83.000	153.040	90.000	LRTBR48G	LRTBR48G	TOP
D807	87.500	137.290	90.000	LRTBR48G	LRTBR48G	TOP
D1425	119.000	119.290	90.000	LRTBR48G	LRTBR48G	TOP
D1824	155.000	56.290	90.000	LRTBR48G	LRTBR48G	TOP
D430	51.500	54.040	90.000	LRTBR48G	LRTBR48G	TOP
R60	152.020	21.860	180.000	56	R0402	TOP
R58	152.020	23.130	180.000	56	R0402	TOP
D64	20.000	126.040	90.000	LRTBR48G	LRTBR48G	TOP
D398	42.500	54.040	90.000	LRTBR48G	LRTBR48G	TOP
D418	51.500	76.540	90.000	LRTBR48G	LRTBR48G	TOP
D797	83.000	123.790	90.000	LRTBR48G	LRTBR48G	TOP
D817	92.000	155.290	90.000	LRTBR48G	LRTBR48G	TOP
D1126	105.500	74.290	90.000	LRTBR48G	LRTBR48G	TOP
D1525	146.000	114.790	90.000	LRTBR48G	LRTBR48G	TOP
D440	56.000	69.790	90.000	LRTBR48G	LRTBR48G	TOP
R59	152.040	18.700	180.000	56	R0402	TOP
R61	76.250	17.590	0.000	56	R0402	TOP
D65	24.500	155.290	90.000	LRTBR48G	LRTBR48G	TOP
D428	51.500	58.540	90.000	LRTBR48G	LRTBR48G	TOP
D827	92.000	132.790	90.000	LRTBR48G	LRTBR48G	TOP
D1226	132.500	67.540	90.000	LRTBR48G	LRTBR48G	TOP
D1625	173.000	135.040	90.000	LRTBR48G	LRTBR48G	TOP
D450	60.500	76.540	90.000	LRTBR48G	LRTBR48G	TOP
R62	76.250	20.010	0.000	56	R0402	TOP
D66	24.500	148.540	90.000	LRTBR48G	LRTBR48G	TOP
D438	56.000	74.290	90.000	LRTBR48G	LRTBR48G	TOP
D837	96.500	150.790	90.000	LRTBR48G	LRTBR48G	TOP
D1326	123.500	128.290	90.000	LRTBR48G	LRTBR48G	TOP
D1725	164.000	87.790	90.000	LRTBR48G	LRTBR48G	TOP
D460	60.500	58.540	90.000	LRTBR48G	LRTBR48G	TOP
R63	78.120	15.730	0.000	56	R0402	TOP
D67	24.500	153.040	90.000	LRTBR48G	LRTBR48G	TOP
D448	56.000	56.290	90.000	LRTBR48G	LRTBR48G	TOP
D1027	78.500	83.290	90.000	LRTBR48G	LRTBR48G	TOP
D847	96.500	121.540	90.000	LRTBR48G	LRTBR48G	TOP
D1426	119.000	112.540	90.000	LRTBR48G	LRTBR48G	TOP
D1825	159.500	81.040	90.000	LRTBR48G	LRTBR48G	TOP
D470	65.000	74.290	90.000	LRTBR48G	LRTBR48G	TOP
R64	76.220	23.700	0.000	56	R0402	TOP
D70	24.500	144.040	90.000	LRTBR48G	LRTBR48G	TOP
D68	24.500	146.290	90.000	LRTBR48G	LRTBR48G	TOP
D458	60.500	67.540	90.000	LRTBR48G	LRTBR48G	TOP
D857	101.000	135.040	90.000	LRTBR48G	LRTBR48G	TOP
D1127	105.500	63.040	90.000	LRTBR48G	LRTBR48G	TOP
D1526	146.000	108.040	90.000	LRTBR48G	LRTBR48G	TOP
D101	33.500	150.790	90.000	LRTBR48G	LRTBR48G	TOP
D480	65.000	56.290	90.000	LRTBR48G	LRTBR48G	TOP
D500	74.000	72.040	90.000	LRTBR48G	LRTBR48G	TOP
R65	82.450	23.970	0.000	56	R0402	TOP
D71	24.500	137.290	90.000	LRTBR48G	LRTBR48G	TOP
D69	24.500	150.790	90.000	LRTBR48G	LRTBR48G	TOP
D468	65.000	72.040	90.000	LRTBR48G	LRTBR48G	TOP
D867	105.500	153.040	90.000	LRTBR48G	LRTBR48G	TOP
D1227	132.500	60.790	90.000	LRTBR48G	LRTBR48G	TOP
D1626	173.000	139.540	90.000	LRTBR48G	LRTBR48G	TOP
D111	33.500	121.540	90.000	LRTBR48G	LRTBR48G	TOP
D490	69.500	67.540	90.000	LRTBR48G	LRTBR48G	TOP
D510	74.000	54.040	90.000	LRTBR48G	LRTBR48G	TOP
R66	76.240	21.240	0.000	56	R0402	TOP
D72	24.500	141.790	90.000	LRTBR48G	LRTBR48G	TOP
D478	65.000	54.040	90.000	LRTBR48G	LRTBR48G	TOP
D877	105.500	123.790	90.000	LRTBR48G	LRTBR48G	TOP
D1327	123.500	121.540	90.000	LRTBR48G	LRTBR48G	TOP
D1726	164.000	92.290	90.000	LRTBR48G	LRTBR48G	TOP
D121	38.000	135.040	90.000	LRTBR48G	LRTBR48G	TOP
D520	42.500	141.790	90.000	LRTBR48G	LRTBR48G	TOP
R67	86.780	21.390	180.000	56	R0402	TOP
D73	24.500	135.040	90.000	LRTBR48G	LRTBR48G	TOP
D109	33.500	123.790	90.000	LRTBR48G	LRTBR48G	TOP
D488	69.500	69.790	90.000	LRTBR48G	LRTBR48G	TOP
D508	74.000	58.540	90.000	LRTBR48G	LRTBR48G	TOP
D1028	78.500	72.040	90.000	LRTBR48G	LRTBR48G	TOP
D1030	78.500	74.290	90.000	LRTBR48G	LRTBR48G	TOP
D907	78.500	96.790	90.000	LRTBR48G	LRTBR48G	TOP
D887	110.000	137.290	90.000	LRTBR48G	LRTBR48G	TOP
D1427	119.000	117.040	90.000	LRTBR48G	LRTBR48G	TOP
D1826	159.500	76.540	90.000	LRTBR48G	LRTBR48G	TOP
D131	6.500	117.040	90.000	LRTBR48G	LRTBR48G	TOP
D530	47.000	148.540	90.000	LRTBR48G	LRTBR48G	TOP
R68	86.760	18.860	180.000	56	R0402	TOP
R70	107.480	24.670	180.000	56	R0402	TOP
D74	24.500	139.540	90.000	LRTBR48G	LRTBR48G	TOP
D119	38.000	137.290	90.000	LRTBR48G	LRTBR48G	TOP
D518	42.500	144.040	90.000	LRTBR48G	LRTBR48G	TOP
D498	74.000	76.540	90.000	LRTBR48G	LRTBR48G	TOP
D897	78.500	119.290	90.000	LRTBR48G	LRTBR48G	TOP
D917	83.000	114.790	90.000	LRTBR48G	LRTBR48G	TOP
D1128	105.500	69.790	90.000	LRTBR48G	LRTBR48G	TOP
D1130	105.500	67.540	90.000	LRTBR48G	LRTBR48G	TOP
D1527	146.000	101.290	90.000	LRTBR48G	LRTBR48G	TOP
D141	6.500	87.790	90.000	LRTBR48G	LRTBR48G	TOP
D540	47.000	130.540	90.000	LRTBR48G	LRTBR48G	TOP
R71	112.290	20.870	180.000	56	R0402	TOP
R69	102.100	21.500	270.000	56	R0402	TOP
D75	24.500	132.790	90.000	LRTBR48G	LRTBR48G	TOP
D129	6.500	119.290	90.000	LRTBR48G	LRTBR48G	TOP
D528	42.500	126.040	90.000	LRTBR48G	LRTBR48G	TOP
D927	83.000	85.540	90.000	LRTBR48G	LRTBR48G	TOP
D1228	132.500	58.540	90.000	LRTBR48G	LRTBR48G	TOP
D1230	132.500	54.040	90.000	LRTBR48G	LRTBR48G	TOP
D1627	173.000	132.790	90.000	LRTBR48G	LRTBR48G	TOP
D151	11.000	101.290	90.000	LRTBR48G	LRTBR48G	TOP
D550	51.500	144.040	90.000	LRTBR48G	LRTBR48G	TOP
R72	105.430	24.670	180.000	56	R0402	TOP
D76	24.500	130.540	90.000	LRTBR48G	LRTBR48G	TOP
D139	6.500	96.790	90.000	LRTBR48G	LRTBR48G	TOP
D538	47.000	139.540	90.000	LRTBR48G	LRTBR48G	TOP
D937	87.500	99.040	90.000	LRTBR48G	LRTBR48G	TOP
D1330	128.000	148.540	90.000	LRTBR48G	LRTBR48G	TOP
D1328	123.500	126.040	90.000	LRTBR48G	LRTBR48G	TOP
D1727	164.000	85.540	90.000	LRTBR48G	LRTBR48G	TOP
D161	15.500	119.290	90.000	LRTBR48G	LRTBR48G	TOP
D560	51.500	126.040	90.000	LRTBR48G	LRTBR48G	TOP
R73	112.290	19.650	180.000	56	R0402	TOP
D77	24.500	123.790	90.000	LRTBR48G	LRTBR48G	TOP
D149	11.000	114.790	90.000	LRTBR48G	LRTBR48G	TOP
D548	51.500	146.290	90.000	LRTBR48G	LRTBR48G	TOP
D1031	78.500	63.040	90.000	LRTBR48G	LRTBR48G	TOP
D1029	78.500	78.790	90.000	LRTBR48G	LRTBR48G	TOP
D947	92.000	117.040	90.000	LRTBR48G	LRTBR48G	TOP
D1428	119.000	110.290	90.000	LRTBR48G	LRTBR48G	TOP
D1430	119.000	108.040	90.000	LRTBR48G	LRTBR48G	TOP
D1827	159.500	83.290	90.000	LRTBR48G	LRTBR48G	TOP
D171	15.500	96.790	90.000	LRTBR48G	LRTBR48G	TOP
D570	56.000	139.540	90.000	LRTBR48G	LRTBR48G	TOP
R74	103.730	16.000	90.000	56	R0402	TOP
D80	24.500	126.040	90.000	LRTBR48G	LRTBR48G	TOP
D78	24.500	128.290	90.000	LRTBR48G	LRTBR48G	TOP
D159	11.000	85.540	90.000	LRTBR48G	LRTBR48G	TOP
D558	51.500	128.290	90.000	LRTBR48G	LRTBR48G	TOP
D957	92.000	87.790	90.000	LRTBR48G	LRTBR48G	TOP
D1131	105.500	60.790	90.000	LRTBR48G	LRTBR48G	TOP
D1129	105.500	65.290	90.000	LRTBR48G	LRTBR48G	TOP
D1528	146.000	105.790	90.000	LRTBR48G	LRTBR48G	TOP
D1530	146.000	103.540	90.000	LRTBR48G	LRTBR48G	TOP
D181	20.000	114.790	90.000	LRTBR48G	LRTBR48G	TOP
D201	24.500	99.040	90.000	LRTBR48G	LRTBR48G	TOP
D580	60.500	146.290	90.000	LRTBR48G	LRTBR48G	TOP
D600	65.000	141.790	90.000	LRTBR48G	LRTBR48G	TOP
R75	104.970	16.000	90.000	56	R0402	TOP
D79	24.500	121.540	90.000	LRTBR48G	LRTBR48G	TOP
D81	29.000	155.290	90.000	LRTBR48G	LRTBR48G	TOP
D169	15.500	99.040	90.000	LRTBR48G	LRTBR48G	TOP
D568	56.000	141.790	90.000	LRTBR48G	LRTBR48G	TOP
D967	96.500	101.290	90.000	LRTBR48G	LRTBR48G	TOP
D1231	132.500	49.540	90.000	LRTBR48G	LRTBR48G	TOP
D1229	132.500	51.790	90.000	LRTBR48G	LRTBR48G	TOP
D1630	173.000	128.290	90.000	LRTBR48G	LRTBR48G	TOP
D1628	173.000	130.540	90.000	LRTBR48G	LRTBR48G	TOP
D191	20.000	85.540	90.000	LRTBR48G	LRTBR48G	TOP
D211	29.000	117.040	90.000	LRTBR48G	LRTBR48G	TOP
D590	60.500	128.290	90.000	LRTBR48G	LRTBR48G	TOP
D610	69.500	148.540	90.000	LRTBR48G	LRTBR48G	TOP
R76	32.920	19.770	0.000	56	R0402	TOP
D82	29.000	148.540	90.000	LRTBR48G	LRTBR48G	TOP
D179	20.000	117.040	90.000	LRTBR48G	LRTBR48G	TOP
D578	60.500	148.540	90.000	LRTBR48G	LRTBR48G	TOP
D977	101.000	119.290	90.000	LRTBR48G	LRTBR48G	TOP
D1331	128.000	153.040	90.000	LRTBR48G	LRTBR48G	TOP
D1329	128.000	155.290	90.000	LRTBR48G	LRTBR48G	TOP
D1728	164.000	90.040	90.000	LRTBR48G	LRTBR48G	TOP
D1730	168.500	112.540	90.000	LRTBR48G	LRTBR48G	TOP
D221	29.000	87.790	90.000	LRTBR48G	LRTBR48G	TOP
D620	69.500	130.540	90.000	LRTBR48G	LRTBR48G	TOP
R77	32.920	22.250	0.000	56	R0402	TOP
D83	29.000	153.040	90.000	LRTBR48G	LRTBR48G	TOP
D189	20.000	87.790	90.000	LRTBR48G	LRTBR48G	TOP
D209	29.000	119.290	90.000	LRTBR48G	LRTBR48G	TOP
D588	60.500	130.540	90.000	LRTBR48G	LRTBR48G	TOP
D608	65.000	126.040	90.000	LRTBR48G	LRTBR48G	TOP
D1032	78.500	69.790	90.000	LRTBR48G	LRTBR48G	TOP
D987	101.000	96.790	90.000	LRTBR48G	LRTBR48G	TOP
