=======================================================================
Xpedition Layout - Version 117.0.817.8330
=======================================================================

RELOAD CELLS

Job Directory:  D:\Documents\SpiROSE\PCB\Test_LED\PCB\


Design Units:(mm)

Replace Cell Log:   repCellLog63.txt

Tue Jan 02 20:14:36 2018

Reference Designator            Cell Name                         New Cell Name
===============================================================================


---------------  RELOAD CELLS  Tue Jan 02 20:14:36 2018  ---------------




---------------  RELOAD CELLS TMP  Tue Jan 02 20:14:36 2018  ---------------


R76                             R0402                             R0402                           
Q12                             SOT23                             SOT23                           
Q21                             SOT23                             SOT23                           
Q28                             SOT23                             SOT23                           
PT10                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
Q19                             SOT23                             SOT23                           
Q30                             SOT23                             SOT23                           
R45                             R0402                             R0402                           
Q36                             SOT23                             SOT23                           
R12                             R0402                             R0402                           
R21                             R0402                             R0402                           
R9                              R0402                             R0402                           
R36                             R0402                             R0402                           
R67                             R0402                             R0402                           
Q1                              SOT23                             SOT23                           
C16                             C0402                             C0402                           
R19                             R0402                             R0402                           
R28                             R0402                             R0402                           
C51                             C0603                             C0603                           
PT16                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
C25                             C0402                             C0402                           
R30                             R0402                             R0402                           
C49                             C0603                             C0603                           
C34                             C0603                             C0603                           
C42                             C0603                             C0603                           
PT20                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
R77                             R0402                             R0402                           
R1                              R0402                             R0402                           
Q13                             SOT23                             SOT23                           
PT11                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
Q22                             SOT23                             SOT23                           
PT1                             PTEST_0.90MM                      PTEST_0.90MM                    
PT26                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
R46                             R0402                             R0402                           
R13                             R0402                             R0402                           
C17                             C0402                             C0402                           
R22                             R0402                             R0402                           
C26                             C0402                             C0402                           
C52                             C0603                             C0603                           
R68                             R0402                             R0402                           
Q4                              SOT23                             SOT23                           
Q37                             SOT23                             SOT23                           
Q29                             SOT23                             SOT23                           
R70                             R0402                             R0402                           
PT21                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
PT15                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
Q31                             SOT23                             SOT23                           
R37                             R0402                             R0402                           
Q14                             SOT23                             SOT23                           
C43                             C0603                             C0603                           
PT30                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
R80                             R0402                             R0402                           
R31                             R0402                             R0402                           
R78                             R0402                             R0402                           
PT2                             PTEST_0.90MM                      PTEST_0.90MM                    
Q23                             SOT23                             SOT23                           
R29                             R0402                             R0402                           
PT9                             PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
C3                              C0402                             C0402                           
R4                              R0402                             R0402                           
C35                             C0603                             C0603                           
R47                             R0402                             R0402                           
R56                             R0402                             R0402                           
PT25                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
R14                             R0402                             R0402                           
PT17                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
C53                             C0805                             C0805                           
C18                             C0402                             C0402                           
R23                             R0402                             R0402                           
