=======================================================================
Xpedition Layout - Version 117.0.817.8330
=======================================================================

RELOAD CELLS

Job Directory:  H:\SPIROSE\PCB\LED_PANEL\PCB\


Design Units:(mm)

Replace Cell Log:   repCellLog71.txt

Tue Jan 16 15:02:27 2018

Reference Designator            Cell Name                         New Cell Name
===============================================================================


---------------  RELOAD CELLS  Tue Jan 16 15:02:27 2018  ---------------




---------------  RELOAD CELLS TMP  Tue Jan 16 15:02:27 2018  ---------------


D1131                           LRTBR48G                          LRTBR48G                        
D91                             LRTBR48G                          LRTBR48G                        
D1635                           LRTBR48G                          LRTBR48G                        
D958                            LRTBR48G                          LRTBR48G                        
D1743                           LRTBR48G                          LRTBR48G                        
D143                            LRTBR48G                          LRTBR48G                        
D732                            LRTBR48G                          LRTBR48G                        
D1360                           LRTBR48G                          LRTBR48G                        
D773                            LRTBR48G                          LRTBR48G                        
D584                            LRTBR48G                          LRTBR48G                        
D1874                           LRTBR48G                          LRTBR48G                        
D1580                           LRTBR48G                          LRTBR48G                        
D1603                           LRTBR48G                          LRTBR48G                        
D1189                           LRTBR48G                          LRTBR48G                        
D307                            LRTBR48G                          LRTBR48G                        
D1097                           LRTBR48G                          LRTBR48G                        
D38                             LRTBR48G                          LRTBR48G                        
D1322                           LRTBR48G                          LRTBR48G                        
D747                            LRTBR48G                          LRTBR48G                        
D470                            LRTBR48G                          LRTBR48G                        
D957                            LRTBR48G                          LRTBR48G                        
D1632                           LRTBR48G                          LRTBR48G                        
D1236                           LRTBR48G                          LRTBR48G                        
D559                            LRTBR48G                          LRTBR48G                        
D1344                           LRTBR48G                          LRTBR48G                        
D1647                           LRTBR48G                          LRTBR48G                        
D333                            LRTBR48G                          LRTBR48G                        
D962                            LRTBR48G                          LRTBR48G                        
D374                            LRTBR48G                          LRTBR48G                        
D205                            LRTBR48G                          LRTBR48G                        
D1475                           LRTBR48G                          LRTBR48G                        
D1181                           LRTBR48G                          LRTBR48G                        
D1204                           LRTBR48G                          LRTBR48G                        
D1706                           LRTBR48G                          LRTBR48G                        
D1814                           LRTBR48G                          LRTBR48G                        
D32                             LRTBR48G                          LRTBR48G                        
D40                             LRTBR48G                          LRTBR48G                        
D637                            LRTBR48G                          LRTBR48G                        
D348                            LRTBR48G                          LRTBR48G                        
D68                             LRTBR48G                          LRTBR48G                        
D558                            LRTBR48G                          LRTBR48G                        
D1233                           LRTBR48G                          LRTBR48G                        
D828                            LRTBR48G                          LRTBR48G                        
D980                            LRTBR48G                          LRTBR48G                        
D739                            LRTBR48G                          LRTBR48G                        
D1248                           LRTBR48G                          LRTBR48G                        
D1553                           LRTBR48G                          LRTBR48G                        
D563                            LRTBR48G                          LRTBR48G                        
D1564                           LRTBR48G                          LRTBR48G                        
D185                            LRTBR48G                          LRTBR48G                        
D1076                           LRTBR48G                          LRTBR48G                        
D1179                           LRTBR48G                          LRTBR48G                        
D725                            LRTBR48G                          LRTBR48G                        
D1307                           LRTBR48G                          LRTBR48G                        
D1808                           LRTBR48G                          LRTBR48G                        
D1415                           LRTBR48G                          LRTBR48G                        
D238                            LRTBR48G                          LRTBR48G                        
D70                             LRTBR48G                          LRTBR48G                        
