Filename: PicknPlace.txt

Lage der Leiterplatte:
untere linke Ecke: X=0 / Y=0
RefDesignator	X	Y	Rot	Value	Package	Side
C62	131.623	41.855	90.000	2.2uF	C0402	TOP
C63	161.411	87.247	270.000	10uF	C0402	TOP
C64	161.411	89.247	90.000	10uF	C0402	TOP
C65	128.808	37.687	180.000	2.2nF	C0402	TOP
C66	130.247	47.390	0.000	220nF	C0603	TOP
C67	174.400	154.978	90.000	47uF	C1206	TOP
C70	73.529	63.759	0.000	390uF	CHIMIQUE_E12	TOP
C68	41.825	63.759	0.000	390uF	CHIMIQUE_E12	TOP
C69	57.581	63.759	0.000	390uF	CHIMIQUE_E12	TOP
C71	73.679	100.597	0.000	390uF	CHIMIQUE_E12	TOP
C72	57.512	100.597	0.000	390uF	CHIMIQUE_E12	TOP
C73	41.757	100.597	0.000	390uF	CHIMIQUE_E12	TOP
C74	154.112	161.467	90.000	47uF	C1206	TOP
C76	163.091	173.825	270.000	2.2uF	C0402	TOP
C77	156.707	161.467	90.000	47uF	C1206	TOP
C80	128.881	103.801	270.000	330nF	C0402	BOTTOM
C78	171.893	154.979	90.000	47uF	C1206	TOP
C79	128.533	71.690	90.000	330nF	C0402	BOTTOM
C81	101.030	103.801	270.000	330nF	C0402	BOTTOM
C82	100.632	71.690	90.000	330nF	C0402	BOTTOM
C1	99.112	70.928	270.000	100nF	C0402	BOTTOM
D1	130.247	50.893	90.000	MBR0540-T1	SOD123	TOP
J1	62.894	133.292	180.000	AS0B826-S43B-7H	AS0B826-S43B-7H	TOP
L1	97.512	71.128	90.000	MLF2012DR56K	L0603	BOTTOM
Q1	81.422	66.599	0.000	2N7002	SOT23	TOP
R1	107.753	67.415	270.000	10K	R0402	TOP
U1	114.779	87.728	0.000	EP3C40Q240C8N	PQFP240_050_3460_3460_380	TOP
C2	130.441	104.529	90.000	100nF	C0402	BOTTOM
D2	124.847	48.990	180.000	MBRS130LT3	SMB	TOP
J2	55.367	147.167	0.000	MICROMATCH-4	AMP7-188275-4	TOP
L2	132.041	104.330	270.000	MLF2012DR56K	L0603	BOTTOM
R2	113.167	107.984	180.000	10K	R0402	TOP
U2	127.683	42.387	180.000	LT1765ES8	SOP008_127_0500_0620_175	TOP
C3	130.441	70.928	270.000	100nF	C0402	BOTTOM
J3	103.855	44.468	180.000	MICROMATCH-10	AMP8-188275-0	TOP
L3	132.041	71.129	90.000	MLF2012DR56K	L0603	BOTTOM
R3	112.530	72.143	0.000	10K	R0402	BOTTOM
U3	166.661	88.250	270.000	MCP1826S-2502E/DB	SOT223	TOP
C4	99.111	104.527	90.000	100nF	C0402	BOTTOM
J4	47.100	115.250	180.000	FTS-114-01-F-D	FTS-114-01-F-D	TOP
L4	97.509	104.580	270.000	MLF2012DR56K	L0603	BOTTOM
R4	160.148	173.825	270.000	10K	R0402	TOP
U4	169.127	79.141	270.000	MCP1826S-3002E/DB	SOT223	TOP
C5	127.681	103.801	270.000	100nF	C0402	BOTTOM
J5	152.900	115.250	180.000	FTS-114-01-F-D	FTS-114-01-F-D	TOP
L5	157.452	155.590	0.000	2.2uH	SRN5040	TOP
R5	164.808	173.825	270.000	10K	R0402	TOP
U5	36.992	70.531	0.000	PTH12040WAD	PTH12040WAD	TOP
C6	122.029	103.801	270.000	100nF	C0402	BOTTOM
J6	155.150	122.150	0.000	FTS-114-01-F-D	FTS-114-01-F-D	TOP
L6	167.535	152.719	0.000	2.2uH	SRN5040	TOP
R6	35.385	97.047	180.000	210	R0603	TOP
U6	162.482	167.840	180.000	LTC3633EFE	ETSSOP028_065_0980_0620_120	TOP
C7	113.030	103.801	270.000	100nF	C0402	BOTTOM
C10	98.711	89.867	0.000	100nF	C0402	BOTTOM
C11	98.711	86.478	0.000	100nF	C0402	BOTTOM
J7	49.350	122.150	0.000	FTS-114-01-F-D	FTS-114-01-F-D	TOP
C12	98.711	80.475	0.000	100nF	C0402	BOTTOM
L7	124.836	54.936	180.000	4.7uH	IHLP-2525	TOP
C13	103.032	71.690	90.000	100nF	C0402	BOTTOM
R7	158.948	173.825	90.000	73.2K	R0402	TOP
R10	161.891	173.825	90.000	100K	R0402	TOP
C14	107.038	71.690	90.000	100nF	C0402	BOTTOM
U7	100.000	234.320	0.000	AH1885-ZG-7	SOT553	BOTTOM
R11	73.900	125.950	90.000	0	R0603	TOP
C15	117.029	71.690	90.000	100nF	C0402	BOTTOM
R12	75.700	125.950	90.000	0	R0603	TOP
C16	123.029	71.690	90.000	100nF	C0402	BOTTOM
C17	130.842	90.479	180.000	100nF	C0402	BOTTOM
C18	130.842	94.473	180.000	100nF	C0402	BOTTOM
C20	130.842	80.975	180.000	100nF	C0402	BOTTOM
C8	105.026	103.801	270.000	100nF	C0402	BOTTOM
C19	130.842	75.631	180.000	100nF	C0402	BOTTOM
C21	94.509	70.228	270.000	100uF	C1210	BOTTOM
C22	94.508	105.230	90.000	100uF	C1210	BOTTOM
C23	135.043	105.230	90.000	100uF	C1210	BOTTOM
R8	166.008	173.825	270.000	45.3K	R0402	TOP
C24	135.042	70.229	270.000	100uF	C1210	BOTTOM
U8	100.066	2.741	180.000	AH1885-ZG-7	SOT553	BOTTOM
C25	73.679	107.029	180.000	100uF	C1210	TOP
C26	57.512	107.029	180.000	100uF	C1210	TOP
C27	41.757	107.029	180.000	100uF	C1210	TOP
C30	130.842	84.980	180.000	330nF	C0402	BOTTOM
C9	98.711	96.856	0.000	100nF	C0402	BOTTOM
C28	165.636	159.566	180.000	390uF	CHIMIQUE_E12	TOP
C29	130.842	92.921	180.000	330nF	C0402	BOTTOM
C31	130.842	79.475	180.000	330nF	C0402	BOTTOM
C32	130.842	77.969	180.000	330nF	C0402	BOTTOM
C33	130.842	74.431	180.000	330nF	C0402	BOTTOM
R9	81.422	64.194	180.000	10K	R0402	TOP
C34	130.842	73.231	180.000	330nF	C0402	BOTTOM
U9	89.205	44.418	0.000	DS26LV32ATM	SOIC016_127_1000_0620_175	TOP
C35	126.029	71.690	90.000	330nF	C0402	BOTTOM
C36	119.529	71.690	90.000	330nF	C0402	BOTTOM
C37	109.031	71.690	90.000	330nF	C0402	BOTTOM
C38	104.528	71.690	90.000	330nF	C0402	BOTTOM
C40	98.711	74.476	0.000	330nF	C0402	BOTTOM
C39	101.832	71.690	90.000	330nF	C0402	BOTTOM
C41	98.711	76.474	0.000	330nF	C0402	BOTTOM
C42	98.711	78.975	0.000	330nF	C0402	BOTTOM
C43	98.711	82.979	0.000	330nF	C0402	BOTTOM
C44	98.711	91.067	0.000	330nF	C0402	BOTTOM
C45	98.711	93.978	0.000	330nF	C0402	BOTTOM
C46	98.711	98.056	0.000	330nF	C0402	BOTTOM
C47	94.820	102.223	0.000	330nF	C0402	BOTTOM
C50	108.530	103.801	270.000	330nF	C0402	BOTTOM
C48	103.028	103.801	270.000	330nF	C0402	BOTTOM
C51	116.529	103.801	270.000	330nF	C0402	BOTTOM
C49	106.532	103.801	270.000	330nF	C0402	BOTTOM
C52	120.035	103.801	270.000	330nF	C0402	BOTTOM
C53	125.530	103.801	270.000	330nF	C0402	BOTTOM
C54	130.842	101.980	180.000	330nF	C0402	BOTTOM
C55	130.842	99.977	180.000	330nF	C0402	BOTTOM
C56	130.842	96.476	180.000	330nF	C0402	BOTTOM
C57	164.270	149.936	90.000	100nF	C0402	TOP
C60	163.777	79.344	90.000	10uF	C0402	TOP
C58	160.752	153.308	90.000	100nF	C0402	TOP
C59	163.777	77.344	270.000	10uF	C0402	TOP
C61	118.837	53.581	270.000	100uF	C1210	TOP
