
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0001                          R11                              118   1      1   1   1 1           1 0 XSIG030223          (5427-1-13)
00-0001                          R11                              118   1      2   1   1 2           2 0 SOM_CS              (4211-36-13)
00-0001                          R12                              119   1      1   1   1 1           1 0 XSIG030224          (5427-2-13)
00-0001                          R12                              119   1      2   1   1 2           2 0 SOM_CS              (4211-36-13)
01-0224                          R6                               182   1      1   1   1 1           1 0 XSIG040091          (4281-4-13)
01-0224                          R6                               182   1      2   1   1 2           2 0 GND                 (43-1-13)
02-0098                          R1                                 6   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
02-0098                          R1                                 6   1      2   1   1 2           2 0 XSIG020011          (4123-3-13)
02-0098                          R2                                 8   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
02-0098                          R2                                 8   1      2   1   1 2           2 0 FPGA_CONF_DONE      (5430-1-13)
02-0098                          R3                                 7   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
02-0098                          R3                                 7   1      2   1   1 2           2 0 XSIG020030          (4123-15-13)
02-0098                          R4                                10   1      1   1   1 1           1 0 XSIG040125          (4281-8-13)
02-0098                          R4                                10   1      2   1   1 2           2 0 GND                 (43-1-13)
02-0098                          R5                                11   1      1   1   1 1           1 0 XSIG040138          (4281-12-13)
02-0098                          R5                                11   1      2   1   1 2           2 0 GND                 (43-1-13)
02-0098                          R9                                 9   1      1   1   1 1           1 0 INHIBITn4V          (4317-1-13)
02-0098                          R9                                 9   1      2   1   1 2           2 0 GND                 (43-1-13)
02-0445                          R10                               90   1      1   1   1 1           1 0 GND                 (43-1-13)
02-0445                          R10                               90   1      2   1   1 2           2 0 XSIG040185          (4367-1-13)
02-0452                          R7                               184   1      1   1   1 1           1 0 VCC5V               (4123-70-13)
02-0452                          R7                               184   1      2   1   1 2           2 0 XSIG040125          (4281-8-13)
02-0453                          R8                               185   1      1   1   1 1           1 0 XSIG040138          (4281-12-13)
02-0453                          R8                               185   1      2   1   1 2           2 0 VCC3V3              (4211-45-13)
10-0058                          C1                                21   1      1   1   1 1           1 0 XSIG011275          (4155-1-13)
10-0058                          C1                                21   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C2                                20   1      1   1   1 1           1 0 XSIG011276          (4155-2-13)
10-0058                          C2                                20   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C3                                23   1      1   1   1 1           1 0 XSIG011281          (4155-3-13)
10-0058                          C3                                23   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C4                                22   1      1   1   1 1           1 0 XSIG011282          (4155-4-13)
10-0058                          C4                                22   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C5                                41   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C5                                41   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C6                                40   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C6                                40   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C7                                35   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C7                                35   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C8                                34   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C8                                34   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C9                                37   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C9                                37   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C10                               36   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C10                               36   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C11                               39   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C11                               39   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C12                               38   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C12                               38   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C13                               29   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C13                               29   1      2   1   1 2           2 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0058                          C14                               28   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C14                               28   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C15                               33   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C15                               33   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C16                               32   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C16                               32   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C17                               31   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C17                               31   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C18                               30   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C18                               30   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C19                               27   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C19                               27   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C20                               26   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0058                          C20                               26   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C57                               24   1      1   1   1 1           1 0 XSIG040124          (4281-7-13)
10-0058                          C57                               24   1      2   1   1 2           2 0 XSIG040136          (4281-11-13)
10-0058                          C58                               25   1      1   1   1 1           1 0 XSIG040132          (4281-9-13)
10-0058                          C58                               25   1      2   1   1 2           2 0 XSIG040134          (4281-10-13)
10-0070                          C66                               97   1      1   1   1 1           1 0 XSIG040194          (4376-2-13)
10-0070                          C66                               97   1      2   1   1 2           2 0 XSIG040195          (4376-3-13)
